latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
33.778557,-84.402985,327.0,-14400,America/New_York,EDT

time,temperature_2m_max (°C),temperature_2m_min (°C),rain_sum (mm),snowfall_sum (cm)
2022-01-01,23.0,19.0,2.80,0.00
2022-01-02,20.0,12.7,28.30,0.00
2022-01-03,12.9,-1.3,8.10,0.14
2022-01-04,8.7,-3.1,0.00,0.00
2022-01-05,13.3,4.9,0.00,0.00
2022-01-06,15.7,1.4,3.80,0.00
2022-01-07,3.5,-4.6,0.00,0.00
2022-01-08,8.6,-3.4,0.00,0.00
2022-01-09,16.6,3.0,15.10,0.00
2022-01-10,10.0,1.1,0.00,0.00
2022-01-11,8.0,-1.6,0.00,0.00
2022-01-12,10.0,-3.0,0.00,0.00
2022-01-13,12.5,0.5,0.00,0.00
2022-01-14,10.7,1.7,0.00,0.00
2022-01-15,8.7,2.5,1.30,0.00
2022-01-16,4.1,-0.7,24.00,4.27
2022-01-17,3.7,-1.8,0.00,0.00
2022-01-18,9.7,-3.2,0.00,0.00
2022-01-19,14.2,-0.2,0.00,0.00
2022-01-20,9.8,-0.0,8.60,0.00
2022-01-21,3.7,-0.1,0.30,0.00
2022-01-22,5.2,-2.1,0.00,0.00
2022-01-23,8.3,-4.9,0.00,0.00
2022-01-24,12.4,-2.2,0.00,0.00
2022-01-25,13.8,5.6,0.00,0.00
2022-01-26,8.9,-2.3,0.00,0.00
2022-01-27,9.0,-1.8,0.00,0.00
2022-01-28,8.2,-1.3,0.00,0.00
2022-01-29,1.4,-4.7,0.00,0.00
2022-01-30,10.8,-4.6,0.00,0.00
2022-01-31,10.8,-0.8,0.00,0.00
2022-02-01,12.5,-0.2,0.00,0.00
2022-02-02,11.9,4.2,2.50,0.00
2022-02-03,17.9,8.1,57.00,0.00
2022-02-04,17.0,2.1,50.60,0.00
2022-02-05,6.2,-3.3,0.00,0.00
2022-02-06,8.1,-2.1,0.00,0.00
2022-02-07,10.3,3.8,0.00,0.00
2022-02-08,10.8,-0.4,0.00,0.00
2022-02-09,14.2,-1.5,0.00,0.00
2022-02-10,16.6,1.5,0.00,0.00
2022-02-11,17.3,4.2,0.00,0.00
2022-02-12,17.2,6.0,0.00,0.00
2022-02-13,6.7,1.6,0.20,0.00
2022-02-14,11.3,-2.5,0.00,0.00
2022-02-15,14.1,0.0,0.00,0.00
2022-02-16,18.5,4.6,0.30,0.00
2022-02-17,22.1,11.5,1.10,0.00
2022-02-18,18.3,0.1,8.80,0.00
2022-02-19,11.5,-2.7,0.00,0.00
2022-02-20,13.2,-1.1,0.00,0.00
2022-02-21,14.7,4.3,7.10,0.00
2022-02-22,22.3,11.0,3.60,0.00
2022-02-23,21.7,15.4,13.90,0.00
2022-02-24,22.5,15.5,1.20,0.00
2022-02-25,16.7,6.2,2.40,0.00
2022-02-26,15.6,2.3,0.00,0.00
2022-02-27,12.0,6.9,8.50,0.00
2022-02-28,14.7,5.8,0.00,0.00
2022-03-01,17.2,2.0,0.00,0.00
2022-03-02,21.7,5.7,0.00,0.00
2022-03-03,23.0,8.0,0.00,0.00
2022-03-04,20.8,7.9,0.00,0.00
2022-03-05,23.1,8.2,0.00,0.00
2022-03-06,25.2,12.3,0.00,0.00
2022-03-07,24.1,12.6,11.00,0.00
2022-03-08,13.2,6.3,18.90,0.00
2022-03-09,15.0,8.8,8.00,0.00
