latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
36.168716,-115.12988,615.0,-25200,America/Los_Angeles,PDT

time,temperature_2m_max (°C),temperature_2m_min (°C),rain_sum (mm),snowfall_sum (cm)
2022-01-01,7.5,-0.2,0.00,0.00
2022-01-02,7.7,-4.1,0.00,0.00
2022-01-03,8.5,-3.1,0.00,0.00
2022-01-04,11.8,-0.8,0.00,0.00
2022-01-05,12.6,-1.2,0.00,0.00
2022-01-06,16.0,2.4,0.00,0.00
2022-01-07,17.6,0.8,0.00,0.00
2022-01-08,17.7,6.5,0.00,0.00
2022-01-09,15.7,1.9,0.00,0.00
2022-01-10,15.6,3.5,0.00,0.00
2022-01-11,16.5,3.0,0.00,0.00
2022-01-12,17.7,7.1,0.00,0.00
2022-01-13,16.2,6.7,0.00,0.00
2022-01-14,18.9,4.6,0.00,0.00
2022-01-15,15.9,4.2,0.00,0.00
2022-01-16,16.1,4.0,0.00,0.00
2022-01-17,15.2,5.6,0.00,0.00
2022-01-18,15.0,6.3,0.20,0.00
2022-01-19,17.5,4.3,0.00,0.00
2022-01-20,16.5,3.5,0.00,0.00
2022-01-21,16.5,3.5,0.10,0.00
2022-01-22,16.9,7.1,0.00,0.00
2022-01-23,17.2,7.1,0.00,0.00
2022-01-24,18.3,3.4,0.00,0.00
2022-01-25,16.0,5.3,0.00,0.00
2022-01-26,13.2,2.4,0.00,0.00
2022-01-27,17.0,0.0,0.00,0.00
2022-01-28,15.7,4.1,0.00,0.00
2022-01-29,16.8,4.9,0.00,0.00
2022-01-30,18.4,6.1,0.00,0.00
2022-01-31,14.9,4.0,0.00,0.00
2022-02-01,15.3,5.8,0.00,0.00
2022-02-02,9.7,1.9,0.00,0.00
2022-02-03,11.3,-1.3,0.00,0.00
2022-02-04,13.2,2.0,0.00,0.00
2022-02-05,16.8,3.2,0.00,0.00
2022-02-06,18.7,5.0,0.00,0.00
2022-02-07,18.7,4.9,0.00,0.00
2022-02-08,24.0,6.5,0.00,0.00
2022-02-09,24.5,9.0,0.00,0.00
2022-02-10,23.4,11.3,0.00,0.00
2022-02-11,25.3,11.3,0.00,0.00
2022-02-12,22.6,8.3,0.00,0.00
2022-02-13,21.9,8.4,0.00,0.00
2022-02-14,20.7,5.9,0.00,0.00
2022-02-15,18.1,11.1,0.40,0.00
2022-02-16,18.3,8.9,0.00,0.00
2022-02-17,16.0,5.8,0.00,0.00
2022-02-18,19.3,3.5,0.00,0.00
2022-02-19,20.7,6.8,0.00,0.00
2022-02-20,23.5,7.9,0.00,0.00
2022-02-21,20.1,12.1,0.00,0.00
2022-02-22,15.2,3.6,0.30,0.00
2022-02-23,10.7,2.2,0.00,0.00
2022-02-24,10.8,-2.0,0.00,0.00
2022-02-25,13.0,-0.5,0.00,0.00
2022-02-26,13.3,1.0,0.00,0.00
2022-02-27,17.3,2.1,0.00,0.00
2022-02-28,23.9,5.4,0.00,0.00
2022-03-01,25.6,8.4,0.00,0.00
2022-03-02,25.7,10.4,0.00,0.00
2022-03-03,27.0,13.0,0.00,0.00
2022-03-04,18.8,12.1,0.10,0.00
2022-03-05,13.7,7.4,0.90,0.00
2022-03-06,16.3,3.3,0.00,0.00
2022-03-07,14.9,5.4,0.00,0.00
2022-03-08,16.1,4.4,0.00,0.00
2022-03-09,21.2,5.6,0.00,0.00
2022-03-10,14.4,6.2,0.30,0.00
2022-03-11,16.7,-0.2,0.00,0.00
2022-03-12,20.4,5.6,0.00,0.00
2022-03-13,22.5,6.8,0.00,0.00
2022-03-14,21.9,10.4,0.00,0.00
2022-03-15,25.7,10.2,0.00,0.00
2022-03-16,24.4,13.2,0.00,0.00
2022-03-17,21.0,8.6,0.00,0.00
2022-03-18,23.6,7.6,0.00,0.00
2022-03-19,26.4,11.1,0.00,0.00
2022-03-20,21.6,10.8,1.20,0.00
2022-03-21,22.1,7.3,0.00,0.00
2022-03-22,24.1,10.7,0.00,0.00
2022-03-23,24.2,12.3,0.00,0.00
2022-03-24,28.6,10.4,0.00,0.00
2022-03-25,31.9,16.4,0.00,0.00
2022-03-26,33.7,18.3,0.00,0.00
2022-03-27,31.6,18.2,0.00,0.00
2022-03-28,26.5,13.5,5.00,0.00
2022-03-29,23.4,9.7,2.90,0.00
2022-03-30,25.0,13.6,0.00,0.00
2022-03-31,25.6,13.3,0.00,0.00
2022-04-01,26.6,13.9,0.00,0.00
2022-04-02,29.9,16.4,0.00,0.00
2022-04-03,26.1,15.3,0.80,0.00
2022-04-04,29.7,13.4,0.00,0.00
2022-04-05,31.6,18.2,0.00,0.00
2022-04-06,25.1,14.3,0.00,0.00
2022-04-07,28.9,11.1,0.00,0.00
2022-04-08,31.1,14.6,0.00,0.00
2022-04-09,33.2,18.1,0.00,0.00
2022-04-10,23.9,14.5,0.00,0.00
2022-04-11,26.0,11.8,0.00,0.00
2022-04-12,15.8,7.5,0.00,0.00
2022-04-13,19.6,4.1,0.00,0.00
2022-04-14,25.4,10.5,0.00,0.00
2022-04-15,27.4,11.4,0.00,0.00
2022-04-16,26.7,16.8,0.00,0.00
2022-04-17,30.1,12.9,0.00,0.00
2022-04-18,32.8,16.6,0.00,0.00
2022-04-19,30.4,20.4,0.00,0.00
2022-04-20,29.7,14.4,0.00,0.00
2022-04-21,27.7,16.5,0.00,0.00
2022-04-22,21.0,12.5,1.30,0.00
2022-04-23,23.2,10.8,0.00,0.00
2022-04-24,23.7,12.3,0.00,0.00
2022-04-25,26.7,13.7,0.00,0.00
2022-04-26,32.5,17.2,0.00,0.00
2022-04-27,31.6,19.1,0.00,0.00
2022-04-28,28.3,18.5,0.00,0.00
2022-04-29,28.1,15.9,0.00,0.00
2022-04-30,32.4,16.1,0.00,0.00
2022-05-01,28.7,18.1,0.00,0.00
2022-05-02,31.6,14.8,0.00,0.00
2022-05-03,26.6,18.0,0.00,0.00
2022-05-04,27.5,14.8,0.00,0.00
2022-05-05,34.7,16.1,0.00,0.00
2022-05-06,36.2,19.8,0.00,0.00
2022-05-07,33.8,22.8,0.00,0.00
2022-05-08,28.3,17.4,0.00,0.00
2022-05-09,23.9,10.5,0.00,0.00
2022-05-10,23.4,12.1,0.00,0.00
2022-05-11,20.9,11.4,0.00,0.00
2022-05-12,24.8,11.8,0.00,0.00
2022-05-13,30.9,14.9,0.00,0.00
2022-05-14,35.2,19.0,0.00,0.00
2022-05-15,37.0,21.0,0.00,0.00
2022-05-16,37.6,22.5,0.00,0.00
2022-05-17,37.0,22.9,0.00,0.00
2022-05-18,37.0,23.6,0.00,0.00
2022-05-19,39.1,23.5,0.00,0.00
2022-05-20,29.1,20.7,0.00,0.00
2022-05-21,28.5,15.3,0.00,0.00
2022-05-22,34.3,18.3,0.00,0.00
2022-05-23,32.1,20.2,0.00,0.00
2022-05-24,33.2,19.0,0.00,0.00
2022-05-25,36.8,19.9,0.00,0.00
2022-05-26,39.2,22.6,0.00,0.00
2022-05-27,38.2,24.8,0.00,0.00
2022-05-28,34.6,24.8,0.00,0.00
2022-05-29,30.6,18.7,0.00,0.00
2022-05-30,27.7,15.6,0.00,0.00
2022-05-31,30.3,17.6,0.00,0.00
2022-06-01,32.3,18.1,0.00,0.00
2022-06-02,37.2,21.1,0.00,0.00
2022-06-03,37.1,24.2,0.00,0.00
2022-06-04,35.2,24.3,0.00,0.00
2022-06-05,38.1,21.9,0.00,0.00
2022-06-06,38.3,22.7,0.00,0.00
2022-06-07,40.2,24.6,0.00,0.00
2022-06-08,41.6,27.2,0.00,0.00
2022-06-09,42.2,28.2,0.00,0.00
2022-06-10,42.7,26.6,0.00,0.00
2022-06-11,42.4,30.7,0.00,0.00
2022-06-12,41.6,28.0,0.00,0.00
2022-06-13,36.3,26.0,0.00,0.00
2022-06-14,33.1,21.9,0.00,0.00
2022-06-15,37.4,20.3,0.00,0.00
2022-06-16,42.0,26.1,0.00,0.00
2022-06-17,39.3,27.1,0.00,0.00
2022-06-18,31.6,22.5,0.00,0.00
2022-06-19,30.1,18.3,0.00,0.00
2022-06-20,33.8,20.1,0.00,0.00
2022-06-21,37.2,20.7,0.00,0.00
2022-06-22,35.8,25.2,0.00,0.00
2022-06-23,37.8,21.9,0.00,0.00
2022-06-24,39.2,23.5,0.00,0.00
2022-06-25,40.4,24.6,0.00,0.00
2022-06-26,41.2,27.6,0.00,0.00
2022-06-27,40.3,27.8,0.00,0.00
2022-06-28,42.3,28.4,0.00,0.00
2022-06-29,41.7,30.0,0.00,0.00
2022-06-30,40.1,29.6,0.00,0.00
2022-07-01,40.0,28.4,0.00,0.00
2022-07-02,39.7,27.3,0.00,0.00
2022-07-03,37.4,25.9,0.00,0.00
2022-07-04,38.3,22.9,0.00,0.00
2022-07-05,38.8,23.8,0.00,0.00
2022-07-06,38.8,24.3,0.00,0.00
2022-07-07,40.2,24.7,0.00,0.00
2022-07-08,41.9,25.9,0.00,0.00
2022-07-09,42.4,27.2,0.00,0.00
2022-07-10,44.3,29.6,0.00,0.00
2022-07-11,44.0,28.4,0.00,0.00
2022-07-12,45.0,31.3,0.00,0.00
2022-07-13,43.3,30.4,0.00,0.00
2022-07-14,39.7,29.9,0.60,0.00
2022-07-15,39.9,26.5,0.00,0.00
2022-07-16,43.3,30.0,0.00,0.00
2022-07-17,42.0,29.9,0.70,0.00
2022-07-18,39.2,30.8,1.90,0.00
2022-07-19,42.6,27.5,0.00,0.00
2022-07-20,44.2,29.6,0.00,0.00
2022-07-21,44.7,30.0,0.00,0.00
2022-07-22,45.5,29.9,0.00,0.00
2022-07-23,42.8,30.7,0.00,0.00
2022-07-24,40.9,29.8,0.00,0.00
2022-07-25,32.9,24.7,7.30,0.00
2022-07-26,34.9,25.8,0.60,0.00
