latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
40.667835,-73.93768,0.0,-14400,America/New_York,EDT

time,temperature_2m_max (°C),temperature_2m_min (°C),rain_sum (mm),snowfall_sum (cm)
2022-01-01,12.0,7.8,17.30,0.00
2022-01-02,14.3,3.4,21.10,0.00
2022-01-03,2.8,-3.9,0.00,1.68
2022-01-04,0.5,-6.1,0.00,0.00
2022-01-05,7.6,-1.1,2.90,0.00
2022-01-06,4.3,0.4,0.00,0.00
2022-01-07,0.3,-4.8,0.00,7.35
2022-01-08,-2.0,-7.4,0.00,0.00
2022-01-09,4.4,-3.2,4.90,0.00
2022-01-10,4.3,-3.5,0.00,0.00
2022-01-11,-3.8,-8.2,0.00,0.00
2022-01-12,5.2,-7.1,0.00,0.00
2022-01-13,7.3,-2.3,0.00,0.00
2022-01-14,5.5,-4.1,0.00,0.00
2022-01-15,-5.2,-10.5,0.00,0.00
2022-01-16,4.3,-12.9,3.50,0.63
2022-01-17,9.6,0.7,33.60,0.07
2022-01-18,2.6,-4.1,0.00,0.07
2022-01-19,8.1,-2.9,0.00,0.00
2022-01-20,6.0,-4.8,4.60,1.54
2022-01-21,-4.6,-10.9,0.00,0.00
2022-01-22,-1.2,-11.3,0.00,0.00
2022-01-23,3.0,-5.0,0.00,0.21
2022-01-24,1.3,-2.9,0.00,0.14
2022-01-25,6.6,-3.3,0.00,0.00
2022-01-26,-2.7,-7.3,0.00,0.00
2022-01-27,-0.2,-8.4,0.00,0.00
2022-01-28,0.7,-2.1,0.00,1.68
2022-01-29,-1.5,-11.9,0.00,14.84
2022-01-30,-6.2,-13.2,0.00,0.00
2022-01-31,-4.7,-15.8,0.00,0.00
2022-02-01,-1.0,-12.0,0.00,0.00
2022-02-02,4.0,-5.5,0.00,0.00
2022-02-03,10.0,3.2,10.90,0.00
2022-02-04,12.0,-2.1,18.90,0.14
2022-02-05,-1.4,-6.4,0.00,0.56
2022-02-06,-1.2,-8.6,0.00,0.00
2022-02-07,2.6,-2.2,6.30,0.21
2022-02-08,8.2,-0.9,6.70,0.00
2022-02-09,4.8,-4.6,0.00,0.00
2022-02-10,11.5,0.9,0.00,0.00
2022-02-11,10.9,-3.4,0.00,0.00
2022-02-12,13.8,6.5,0.00,0.00
2022-02-13,5.5,-2.9,0.00,4.69
2022-02-14,-3.6,-10.3,0.00,0.00
2022-02-15,-0.4,-8.6,0.00,0.00
2022-02-16,5.9,-3.8,0.00,0.00
2022-02-17,15.7,6.7,1.10,0.00
2022-02-18,15.4,-2.0,13.90,0.00
2022-02-19,4.3,-5.5,0.10,0.28
2022-02-20,2.0,-6.1,0.00,0.00
2022-02-21,8.6,-0.6,0.00,0.00
2022-02-22,13.5,1.4,6.30,0.00
2022-02-23,19.2,4.3,0.20,0.00
2022-02-24,2.8,-1.4,0.10,0.00
2022-02-25,7.2,-1.4,21.50,0.84
2022-02-26,3.2,-6.2,0.00,0.00
2022-02-27,8.3,-2.8,0.00,0.00
2022-02-28,1.8,-4.1,0.00,0.00
2022-03-01,6.3,-3.0,0.10,0.00
2022-03-02,10.4,1.5,0.00,0.00
2022-03-03,5.8,-2.3,3.60,0.00
2022-03-04,3.0,-6.8,0.00,0.00
2022-03-05,5.6,-3.8,0.00,0.00
2022-03-06,19.3,4.3,3.30,0.00
2022-03-07,21.4,12.3,3.10,0.00
2022-03-08,13.8,2.5,0.10,0.00
2022-03-09,4.2,1.3,8.60,3.92
2022-03-10,8.4,-1.6,0.00,0.00
2022-03-11,9.9,0.1,0.00,0.00
2022-03-12,7.1,-3.9,12.80,4.06
2022-03-13,2.9,-5.7,0.00,0.14
2022-03-14,12.2,-1.1,0.00,0.00
2022-03-15,14.0,3.6,0.00,0.00
2022-03-16,15.8,3.7,0.00,0.00
2022-03-17,13.5,4.9,7.60,0.00
2022-03-18,18.3,6.8,0.00,0.00
2022-03-19,15.9,6.8,1.10,0.00
2022-03-20,15.4,7.3,0.00,0.00
2022-03-21,16.0,5.3,0.00,0.00
2022-03-22,13.3,5.2,0.00,0.00
2022-03-23,7.3,1.9,1.40,0.00
2022-03-24,9.8,4.4,27.00,0.00
2022-03-25,16.2,5.5,4.80,0.00
2022-03-26,10.6,5.3,3.70,0.14
2022-03-27,7.9,-0.3,0.20,0.00
2022-03-28,0.4,-4.9,0.00,0.00
2022-03-29,3.5,-4.8,0.00,0.00
2022-03-30,5.1,-2.8,0.00,0.00
2022-03-31,18.3,5.4,6.80,0.00
2022-04-01,15.6,5.7,6.60,0.00
2022-04-02,11.0,1.8,0.00,0.00
2022-04-03,9.0,3.8,3.00,0.00
2022-04-04,12.5,3.0,0.00,0.00
2022-04-05,11.7,1.7,1.60,0.00
2022-04-06,13.0,6.9,20.20,0.00
2022-04-07,11.3,6.6,34.20,0.00
2022-04-08,17.0,7.2,16.10,0.00
2022-04-09,14.1,5.5,4.30,0.00
2022-04-10,10.1,4.2,0.10,0.00
2022-04-11,11.9,2.3,0.00,0.00
2022-04-12,21.1,7.7,1.80,0.00
2022-04-13,16.6,7.1,0.00,0.00
2022-04-14,26.4,14.9,0.00,0.00
2022-04-15,18.8,6.7,0.90,0.00
2022-04-16,18.4,7.5,3.50,0.00
2022-04-17,10.4,4.6,0.40,0.00
2022-04-18,10.0,1.8,7.70,0.00
2022-04-19,11.6,5.0,26.00,0.00
2022-04-20,14.3,3.8,0.00,0.00
2022-04-21,12.1,4.9,0.00,0.00
2022-04-22,18.5,8.6,0.00,0.00
2022-04-23,14.1,6.4,0.00,0.00
2022-04-24,14.7,7.3,0.00,0.00
2022-04-25,13.5,6.8,0.00,0.00
2022-04-26,16.8,10.0,3.10,0.00
2022-04-27,13.5,5.4,0.70,0.00
2022-04-28,12.7,3.4,0.00,0.00
2022-04-29,15.6,3.5,0.00,0.00
2022-04-30,18.2,4.6,0.00,0.00
2022-05-01,17.4,5.6,0.70,0.00
2022-05-02,15.1,10.0,1.40,0.00
2022-05-03,17.2,7.3,0.00,0.00
2022-05-04,20.5,9.6,3.30,0.00
2022-05-05,21.2,11.5,0.00,0.00
2022-05-06,14.0,9.4,21.20,0.00
2022-05-07,10.9,6.8,25.50,0.00
2022-05-08,12.6,6.8,1.90,0.00
2022-05-09,18.2,5.9,0.00,0.00
2022-05-10,19.8,8.4,0.00,0.00
2022-05-11,21.4,9.3,0.00,0.00
2022-05-12,19.3,11.0,0.00,0.00
2022-05-13,20.4,14.1,1.30,0.00
2022-05-14,19.9,13.9,9.90,0.00
