latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
36.02812,-115.06477,789.0,0,GMT,GMT

time,temperature_2m_min (°C),rain_sum (mm),snowfall_sum (cm)
2023-10-11,16.6,0.00,0.00
2023-10-12,12.0,0.00,0.00
2023-10-13,14.2,0.00,0.00
2023-10-14,12.3,0.00,0.00
2023-10-15,14.5,0.00,0.00
2023-10-16,15.2,0.00,0.00
2023-10-17,16.0,0.00,0.00
2023-10-18,19.6,0.00,0.00
2023-10-19,20.5,0.00,0.00
2023-10-20,16.9,0.00,0.00
2023-10-21,17.1,0.00,0.00
2023-10-22,17.1,0.00,0.00
2023-10-23,14.3,0.00,0.00
2023-10-24,14.1,0.00,0.00
2023-10-25,13.2,0.00,0.00
2023-10-26,15.4,0.00,0.00
2023-10-27,12.3,0.00,0.00
2023-10-28,10.2,0.00,0.00
2023-10-29,6.0,0.00,0.00
2023-10-30,4.9,0.00,0.00
2023-10-31,8.4,0.00,0.00
2023-11-01,9.3,0.00,0.00
2023-11-02,9.0,0.00,0.00
2023-11-03,8.3,0.00,0.00
2023-11-04,9.9,0.00,0.00
2023-11-05,9.7,0.00,0.00
2023-11-06,14.6,0.00,0.00
2023-11-07,15.2,0.00,0.00
2023-11-08,9.9,0.00,0.00
2023-11-09,5.6,0.00,0.00
2023-11-10,6.4,0.00,0.00
2023-11-11,5.9,0.00,0.00
2023-11-12,8.9,0.00,0.00
2023-11-13,9.1,0.00,0.00
2023-11-14,7.1,0.00,0.00
2023-11-15,9.8,0.00,0.00
2023-11-16,8.7,16.60,0.00
2023-11-17,9.3,0.00,0.00
2023-11-18,7.8,0.00,0.00
2023-11-19,11.6,0.00,0.00
2023-11-20,5.8,0.00,0.00
2023-11-21,6.5,0.00,0.00
2023-11-22,7.3,0.00,0.00
2023-11-23,6.3,0.00,0.00
2023-11-24,6.4,0.00,0.00
2023-11-25,1.9,0.00,0.00
2023-11-26,2.5,0.00,0.00
2023-11-27,2.8,0.00,0.00
2023-11-28,6.2,0.00,0.00
2023-11-29,3.7,0.00,0.00
2023-11-30,3.4,0.00,0.00
2023-12-01,2.8,0.00,0.00
2023-12-02,3.7,0.00,0.00
2023-12-03,3.0,0.00,0.00
2023-12-04,4.3,0.00,0.00
2023-12-05,9.9,0.00,0.00
2023-12-06,9.9,0.00,0.00
2023-12-07,11.0,0.00,0.00
2023-12-08,6.1,0.00,0.00
2023-12-09,1.1,0.00,0.00
2023-12-10,3.8,0.00,0.00
2023-12-11,1.7,0.00,0.00
2023-12-12,2.8,0.00,0.00
2023-12-13,4.2,0.00,0.00
2023-12-14,3.6,0.00,0.00
2023-12-15,6.2,0.00,0.00
2023-12-16,6.7,0.00,0.00
2023-12-17,5.8,0.00,0.00
2023-12-18,8.0,0.00,0.00
2023-12-19,5.8,0.00,0.00
2023-12-20,7.0,0.00,0.00
2023-12-21,8.1,0.10,0.00
2023-12-22,9.7,5.90,0.00
2023-12-23,5.1,1.40,0.00
2023-12-24,2.9,0.00,0.00
2023-12-25,4.1,0.00,0.00
2023-12-26,5.3,0.00,0.00
2023-12-27,3.4,0.00,0.00
2023-12-28,4.8,0.00,0.00
2023-12-29,6.0,0.00,0.00
2023-12-30,4.6,0.00,0.00
2023-12-31,3.1,0.30,0.00
2024-01-01,4.2,0.00,0.00
2024-01-02,5.6,0.00,0.00
2024-01-03,5.7,1.70,0.00
2024-01-04,1.4,0.70,0.07
2024-01-05,4.1,0.00,0.00
2024-01-06,2.8,0.00,0.00
2024-01-07,3.0,0.00,0.07
2024-01-08,0.6,0.00,0.00
2024-01-09,-1.7,0.00,0.00
2024-01-10,-2.9,0.00,0.00
2024-01-11,1.7,0.10,1.12
2024-01-12,-1.3,0.00,0.00
2024-01-13,-2.0,0.00,0.00
2024-01-14,1.1,0.00,0.00
2024-01-15,1.6,0.00,0.00
2024-01-16,4.7,0.00,0.00
2024-01-17,3.2,0.00,0.00
2024-01-18,2.4,0.00,0.00
2024-01-19,7.6,0.00,0.00
2024-01-20,7.7,0.00,0.00
2024-01-21,7.5,2.30,0.00
2024-01-22,6.2,5.70,0.00
2024-01-23,7.6,4.30,0.00
2024-01-24,4.0,0.00,0.00
2024-01-25,5.6,0.60,0.00
2024-01-26,3.6,0.00,0.00
2024-01-27,6.9,0.00,0.00
2024-01-28,10.8,0.00,0.00
2024-01-29,10.5,0.00,0.00
2024-01-30,9.9,0.00,0.00
2024-01-31,11.0,0.00,0.00
2024-02-01,9.5,5.60,0.00
2024-02-02,5.8,4.00,0.00
2024-02-03,2.4,0.00,0.00
2024-02-04,4.1,1.30,0.00
2024-02-05,5.5,6.90,0.00
2024-02-06,5.9,7.90,0.00
2024-02-07,5.0,3.00,0.00
2024-02-08,1.5,4.30,0.00
2024-02-09,0.2,0.20,0.00
2024-02-10,1.4,0.70,0.00
2024-02-11,0.1,0.00,0.00
2024-02-12,2.1,0.00,0.00
2024-02-13,2.4,0.00,0.00
2024-02-14,3.2,0.00,0.00
2024-02-15,5.9,0.00,0.00
2024-02-16,5.4,0.00,0.00
2024-02-17,7.7,0.00,0.00
2024-02-18,8.2,0.00,0.00
2024-02-19,6.7,0.00,0.00
2024-02-20,10.6,7.00,0.00
2024-02-21,6.4,5.10,0.00
2024-02-22,5.6,0.00,0.00
2024-02-23,8.2,0.00,0.00
2024-02-24,9.5,0.00,0.00
2024-02-25,7.2,0.00,0.00
2024-02-26,10.8,0.00,0.00
2024-02-27,8.0,0.00,0.00
2024-02-28,5.2,0.00,0.00
2024-02-29,4.8,0.00,0.00
2024-03-01,9.7,0.00,0.00
2024-03-02,11.0,0.00,0.00
2024-03-03,7.7,0.00,0.00
2024-03-04,4.8,0.00,0.00
2024-03-05,7.1,0.00,0.00
2024-03-06,8.6,0.00,0.00
