latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
40.667835,-73.93768,0.0,0,GMT,GMT

time,temperature_2m_min (°C),rain_sum (mm),snowfall_sum (cm)
2023-10-11,9.2,0.00,0.00
2023-10-12,7.3,0.00,0.00
2023-10-13,9.2,0.00,0.00
2023-10-14,9.1,10.90,0.00
2023-10-15,9.8,4.10,0.00
2023-10-16,7.0,1.00,0.00
2023-10-17,8.5,0.50,0.00
2023-10-18,6.8,0.30,0.00
2023-10-19,7.4,0.00,0.00
2023-10-20,14.4,21.10,0.00
2023-10-21,13.8,10.60,0.00
2023-10-22,9.5,0.00,0.00
2023-10-23,7.6,0.00,0.00
2023-10-24,4.8,0.00,0.00
2023-10-25,8.8,0.00,0.00
2023-10-26,10.4,0.00,0.00
2023-10-27,13.1,0.10,0.00
2023-10-28,16.5,0.00,0.00
2023-10-29,12.1,6.50,0.00
2023-10-30,11.6,1.30,0.00
2023-10-31,7.2,0.00,0.00
2023-11-01,5.4,2.70,0.00
2023-11-02,0.3,0.00,0.00
2023-11-03,1.5,0.00,0.00
2023-11-04,3.8,0.00,0.00
2023-11-05,4.9,0.10,0.00
2023-11-06,4.3,0.10,0.00
2023-11-07,9.3,5.50,0.00
2023-11-08,5.0,0.00,0.00
2023-11-09,3.4,1.00,0.00
2023-11-10,5.9,0.30,0.00
2023-11-11,4.1,0.00,0.00
2023-11-12,-0.1,0.00,0.00
2023-11-13,-1.9,0.00,0.00
2023-11-14,3.1,0.00,0.00
2023-11-15,-0.5,0.00,0.00
2023-11-16,3.2,0.00,0.00
2023-11-17,5.2,0.00,0.00
2023-11-18,6.5,0.90,0.00
2023-11-19,1.1,0.00,0.00
2023-11-20,-0.9,0.00,0.00
2023-11-21,-0.3,2.00,0.00
2023-11-22,7.5,27.90,0.00
2023-11-23,5.4,0.00,0.00
2023-11-24,2.5,0.00,0.00
2023-11-25,-3.7,0.00,0.00
2023-11-26,-2.8,0.90,0.00
2023-11-27,4.7,14.20,0.00
2023-11-28,-1.7,0.00,0.00
2023-11-29,-4.1,0.00,0.00
2023-11-30,-1.9,0.00,0.00
2023-12-01,1.5,1.20,0.00
2023-12-02,5.8,5.20,0.00
2023-12-03,6.8,18.30,0.00
2023-12-04,5.1,0.50,0.00
2023-12-05,1.5,0.00,0.00
2023-12-06,-1.6,0.00,0.00
2023-12-07,-3.0,0.00,0.00
2023-12-08,-1.8,0.00,0.00
2023-12-09,3.9,0.00,0.00
2023-12-10,6.9,14.20,0.00
2023-12-11,4.0,42.70,0.00
2023-12-12,-1.6,0.00,0.00
2023-12-13,0.3,0.00,0.00
2023-12-14,-2.9,0.00,0.00
2023-12-15,0.1,0.00,0.00
2023-12-16,2.2,0.00,0.00
2023-12-17,6.2,12.20,0.00
2023-12-18,8.4,75.10,0.00
2023-12-19,1.5,0.10,0.00
2023-12-20,-3.5,0.00,0.00
2023-12-21,-0.8,0.00,0.00
2023-12-22,-5.5,0.00,0.00
2023-12-23,-2.6,0.00,0.00
2023-12-24,1.5,0.30,0.00
2023-12-25,1.1,0.00,0.00
2023-12-26,3.3,0.00,0.00
2023-12-27,5.7,2.60,0.00
2023-12-28,8.4,30.00,0.00
2023-12-29,8.1,2.20,0.00
2023-12-30,1.3,0.00,0.00
2023-12-31,-1.4,0.20,0.00
2024-01-01,1.3,0.00,0.00
2024-01-02,-4.4,0.00,0.00
2024-01-03,-1.9,0.00,0.00
2024-01-04,-0.2,0.20,0.00
2024-01-05,-5.1,0.00,0.00
2024-01-06,-4.7,3.00,0.42
2024-01-07,1.3,12.50,1.75
2024-01-08,-0.9,0.00,0.00
2024-01-09,-4.3,8.90,0.00
2024-01-10,6.3,57.80,0.00
2024-01-11,0.6,0.00,0.00
2024-01-12,-1.9,0.00,0.00
2024-01-13,4.8,32.60,0.00
2024-01-14,-1.6,0.10,0.42
2024-01-15,-5.5,0.00,0.00
2024-01-16,-4.2,4.20,4.76
2024-01-17,-8.7,0.00,0.00
2024-01-18,-6.3,0.00,0.21
2024-01-19,-2.9,0.10,2.03
2024-01-20,-8.1,0.00,0.00
2024-01-21,-7.4,0.00,0.00
